method,Rank-1,Rank-5,Rank-10,mAP
ReID only,82.88043737411499,89.5108699798584,90.5434787273407,74.78080223473876
ReID + proxy-time constraint,83.0978274345398,89.4565224647522,90.9239113330841,75.05402301732083
